Momento;CI;edad;riesgo;departamento
1;200000;70;5;Paysandú
1;200001;42;0;Durazno
1;200002;50;0;Tacuarembó
1;200003;60;0;Colonia
1;200004;18;0;Colonia
1;200005;63;0;Florida
1;200006;44;0;Artigas
1;200007;21;0;Salto
1;200008;44;0;Rivera
1;200009;32;0;Montevideo
1;200010;23;0;Cerro Largo
1;200011;34;0;Lavalleja
1;200012;54;0;Flores
1;200013;35;0;Lavalleja
1;200014;38;5;Salto
1;200015;25;2;Soriano
1;200016;49;0;Cerro Largo
1;200017;42;0;Maldonado
1;200018;67;4;Canelones
1;200019;36;0;Treinta y Tres
1;200020;45;0;Cerro Largo
1;200021;27;3;Treinta y Tres
1;200022;43;0;Treinta y Tres
1;200023;69;5;Durazno
1;200024;49;0;Treinta y Tres
1;200025;74;2;Artigas
1;200026;44;0;San José
1;200027;23;0;Lavalleja
1;200028;68;5;San José
1;200029;49;0;Flores
1;200030;30;0;Paysandú
1;200031;46;0;Montevideo
1;200032;32;0;Rocha
1;200033;73;3;Rocha
1;200034;71;3;Flores
1;200035;65;0;Canelones
1;200036;22;0;Flores
1;200037;37;0;Treinta y Tres
1;200038;24;0;Tacuarembó
1;200039;41;4;Soriano
1;200040;39;0;Río Negro
1;200041;52;0;Florida
1;200042;27;0;Río Negro
1;200043;63;3;Salto
1;200044;78;2;Durazno
1;200045;57;3;Maldonado
1;200046;77;1;Rivera
1;200047;75;1;Río Negro
1;200048;69;1;Cerro Largo
1;200049;47;0;Rivera
1;200050;41;5;Salto
1;200051;47;0;Canelones
1;200052;74;2;Flores
1;200053;44;0;Lavalleja
1;200054;73;2;Salto
1;200055;28;3;Treinta y Tres
1;200056;61;0;Treinta y Tres
1;200057;47;0;Montevideo
1;200058;47;0;Paysandú
1;200059;23;0;Artigas
1;200060;68;3;Paysandú
1;200061;38;0;Salto
1;200062;69;3;Rivera
1;200063;23;0;Canelones
1;200064;53;0;Lavalleja
1;200065;66;2;San José
1;200066;49;0;Artigas
1;200067;39;0;Florida
1;200068;54;0;Montevideo
1;200069;39;1;Montevideo
1;200070;65;0;Montevideo
1;200071;22;0;Tacuarembó
1;200072;23;0;Rocha
1;200073;48;0;Maldonado
1;200074;46;0;San José
1;200075;26;0;Cerro Largo
1;200076;73;1;Rocha
1;200077;46;0;Artigas
1;200078;51;0;Rocha
1;200079;77;1;Colonia
1;200080;21;0;Río Negro
1;200081;52;0;Lavalleja
1;200082;42;0;Montevideo
1;200083;64;0;Flores
1;200084;69;5;Río Negro
1;200085;46;0;Cerro Largo
1;200086;28;0;Artigas
1;200087;26;1;Maldonado
1;200088;53;0;Colonia
1;200089;41;0;Maldonado
1;200090;35;0;Florida
1;200091;75;2;Durazno
1;200092;22;0;Maldonado
1;200093;26;0;Salto
1;200094;45;0;Río Negro
1;200095;59;0;San José
1;200096;79;5;Soriano
1;200097;67;5;Río Negro
1;200098;24;0;Cerro Largo
1;200099;47;0;Florida
1;200100;67;1;Montevideo
1;200101;38;0;Canelones
1;200102;47;0;Colonia
1;200103;46;3;Canelones
1;200104;45;0;Flores
1;200105;28;0;Lavalleja
1;200106;54;0;Rocha
1;200107;47;0;Lavalleja
1;200108;18;0;Florida
1;200109;39;0;San José
1;200110;41;3;Soriano
1;200111;40;0;Montevideo
1;200112;66;2;Rocha
1;200113;45;0;Salto
1;200114;58;0;Paysandú
1;200115;25;0;Rivera
1;200116;45;0;Río Negro
1;200117;35;4;Cerro Largo
1;200118;20;0;Maldonado
1;200119;63;0;Lavalleja
1;200120;22;0;Rivera
1;200121;48;0;Salto
1;200122;44;0;Flores
1;200123;39;4;Maldonado
1;200124;32;0;Maldonado
1;200125;75;1;Artigas
1;200126;79;2;Maldonado
1;200127;23;0;Flores
1;200128;72;1;Montevideo
1;200129;60;0;Florida
1;200130;43;0;Florida
1;200131;60;0;Rivera
1;200132;79;1;Colonia
1;200133;40;3;Rivera
1;200134;19;0;Lavalleja
1;200135;18;5;Durazno
1;200136;67;4;Artigas
1;200137;51;0;Rocha
1;200138;31;5;Maldonado
1;200139;45;0;Artigas
1;200140;22;0;Florida
1;200141;22;0;Rocha
1;200142;39;0;Montevideo
1;200143;65;0;Artigas
1;200144;31;0;Rocha
1;200145;37;0;Rocha
1;200146;34;0;San José
1;200147;49;0;Río Negro
1;200148;36;0;Artigas
1;200149;46;0;Durazno
1;200150;71;1;Cerro Largo
1;200151;70;3;Rivera
1;200152;58;5;Rocha
1;200153;68;1;Paysandú
1;200154;38;0;San José
1;200155;50;0;Río Negro
1;200156;58;0;Canelones
1;200157;37;0;San José
1;200158;34;0;Maldonado
1;200159;27;0;Río Negro
1;200160;66;2;Maldonado
1;200161;75;4;Treinta y Tres
1;200162;42;0;Flores
1;200163;36;0;Rivera
1;200164;27;0;Rivera
1;200165;70;2;Durazno
1;200166;43;0;Rivera
1;200167;18;0;San José
1;200168;40;0;Treinta y Tres
1;200169;74;3;Rocha
1;200170;22;0;Durazno
1;200171;69;1;Lavalleja
1;200172;58;0;Soriano
1;200173;18;0;Artigas
1;200174;43;0;Rivera
1;200175;58;0;Río Negro
1;200176;78;2;Colonia
1;200177;27;0;Florida
1;200178;28;5;Colonia
1;200179;41;5;Río Negro
1;200180;28;0;Maldonado
1;200181;39;0;Lavalleja
1;200182;49;0;Tacuarembó
1;200183;68;4;Maldonado
1;200184;23;0;Montevideo
1;200185;79;1;Paysandú
1;200186;34;0;Cerro Largo
1;200187;58;0;Artigas
1;200188;76;3;Durazno
1;200189;29;0;Paysandú
1;200190;64;0;Flores
1;200191;19;0;Canelones
1;200192;58;0;Tacuarembó
1;200193;53;0;Maldonado
1;200194;75;4;Colonia
1;200195;28;0;Salto
1;200196;79;2;Florida
1;200197;44;0;San José
1;200198;46;0;Lavalleja
1;200199;62;0;Río Negro
1;200200;24;0;Durazno
1;200201;43;0;Montevideo
1;200202;58;0;Tacuarembó
1;200203;38;0;San José
1;200204;51;0;Durazno
1;200205;49;2;Colonia
1;200206;45;0;Río Negro
1;200207;33;0;Treinta y Tres
1;200208;77;4;Rivera
1;200209;30;0;Artigas
1;200210;43;0;Maldonado
1;200211;68;2;Treinta y Tres
1;200212;52;0;Artigas
1;200213;59;0;Florida
1;200214;46;0;Durazno
1;200215;70;4;Artigas
1;200216;49;0;Colonia
1;200217;20;0;Montevideo
1;200218;73;5;Paysandú
1;200219;73;3;Flores
1;200220;47;0;Colonia
1;200221;45;0;Durazno
1;200222;20;0;Treinta y Tres
1;200223;78;5;Artigas
1;200224;56;0;Treinta y Tres
1;200225;76;3;Paysandú
1;200226;57;5;Durazno
1;200227;53;0;Paysandú
1;200228;57;0;Cerro Largo
1;200229;51;0;Rivera
1;200230;59;0;San José
1;200231;60;0;Canelones
1;200232;72;1;Soriano
1;200233;68;1;Artigas
1;200234;69;5;Tacuarembó
1;200235;58;0;Canelones
1;200236;36;0;Soriano
1;200237;54;0;Maldonado
1;200238;60;0;Cerro Largo
1;200239;74;5;Maldonado
1;200240;59;0;Salto
1;200241;46;0;Montevideo
1;200242;70;1;Artigas
1;200243;61;0;Cerro Largo
1;200244;49;3;Canelones
1;200245;42;0;Rocha
1;200246;27;0;Tacuarembó
1;200247;28;0;Treinta y Tres
1;200248;49;0;San José
1;200249;29;0;Río Negro
1;200250;76;2;Salto
1;200251;39;0;Florida
1;200252;32;0;Paysandú
1;200253;27;0;Salto
