Momento;CI;edad;riesgo;departamento
1;100000;60;0;MDEO
1;100001;56;0;PDE
1;100002;67;2;SALTO
1;100003;46;0;PDU
1;100004;85;3;SALTO
1;100005;63;0;PDU
1;100006;20;1;SALTO
1;100007;89;4;SALTO
1;100008;35;0;SALTO
1;100009;33;0;PDU
1;100010;73;1;PDU
1;100011;57;0;MDEO
1;100012;40;4;PDU
1;100013;72;5;TBO
1;100014;46;3;PDU
1;100015;48;0;MDEO
1;100016;36;1;MDEO
1;100017;65;0;TBO
1;100018;70;3;TBO
1;100019;62;0;SALTO
1;100020;51;0;PDU
1;100021;59;0;MDEO
1;100022;76;2;TBO
1;100023;59;0;SALTO
1;100024;65;0;TBO
1;100025;63;0;PDU
1;100026;55;3;SALTO
1;100027;77;5;SALTO
1;100028;36;0;MDEO
1;100029;21;0;PDE
1;100030;48;0;SALTO
1;100031;49;0;MDEO
1;100032;78;5;PDU
1;100033;43;0;SALTO
1;100034;75;1;PDE
1;100035;39;0;PDU
1;100036;40;0;PDU
1;100037;81;2;MDEO
1;100038;79;2;MDEO
1;100039;20;0;MDEO
1;100040;57;0;SALTO
1;100041;70;3;MDEO
1;100042;79;3;PDE
1;100043;40;0;MDEO
1;100044;48;0;SALTO
1;100045;54;0;MDEO
1;100046;25;0;PDE
1;100047;83;1;PDE
1;100048;75;4;MDEO
1;100049;24;0;PDE
1;100050;27;0;SALTO
1;100051;31;1;PDE
1;100052;48;0;SALTO
1;100053;44;0;MDEO
1;100054;35;0;PDU
1;100055;57;0;MDEO
1;100056;23;0;SALTO
1;100057;61;0;PDU
1;100058;85;3;SALTO
1;100059;60;0;TBO
1;100060;70;2;MDEO
1;100061;22;0;PDE
1;100062;71;5;PDE
1;100063;33;0;SALTO
1;100064;25;0;PDE
1;100065;65;0;TBO
1;100066;55;0;TBO
1;100067;33;0;SALTO
1;100068;66;1;PDU
1;100069;18;0;TBO
1;100070;63;0;PDU
1;100071;68;3;TBO
1;100072;87;2;PDE
1;100073;24;0;SALTO
1;100074;87;5;PDE
1;100075;35;0;PDE
1;100076;73;4;SALTO
1;100077;85;1;PDE
1;100078;68;2;PDE
1;100079;30;0;MDEO
1;100080;49;0;TBO
1;100081;71;5;PDU
1;100082;74;2;TBO
1;100083;45;0;TBO
1;100084;42;0;MDEO
1;100085;64;0;TBO
1;100086;60;0;MDEO
1;100087;19;0;PDE
1;100088;48;0;SALTO
1;100089;35;0;TBO
1;100090;47;0;MDEO
1;100091;63;0;PDU
1;100092;61;0;SALTO
1;100093;68;5;PDU
1;100094;19;0;PDU
1;100095;45;0;PDU
1;100096;49;0;SALTO
1;100097;61;0;PDE
1;100098;74;2;MDEO
1;100099;52;0;PDE
1;100100;35;0;MDEO
1;100101;39;0;PDU
1;100102;62;0;TBO
1;100103;29;0;SALTO
1;100104;59;0;SALTO
1;100105;36;0;PDE
1;100106;52;0;PDU
2;100107;35;0;SALTO
2;100108;69;2;PDE
2;100109;57;0;MDEO
2;100110;83;2;PDE
2;100111;33;0;SALTO
2;100112;20;0;PDE
2;100113;33;0;TBO
2;100114;35;0;SALTO
2;100115;26;0;MDEO
2;100116;54;0;SALTO
2;100117;54;0;SALTO
2;100118;43;0;PDE
2;100119;65;0;MDEO
2;100120;21;0;PDU
2;100121;87;1;SALTO
2;100122;29;0;MDEO
2;100123;89;1;TBO
2;100124;21;0;PDE
2;100125;59;0;MDEO
2;100126;88;5;TBO
2;100127;59;0;MDEO
2;100128;52;5;SALTO
2;100129;46;0;PDU
2;100130;58;0;SALTO
2;100131;38;3;PDU
2;100132;73;2;MDEO
2;100133;26;0;MDEO
2;100134;65;0;MDEO
2;100135;56;0;TBO
2;100136;21;5;MDEO
2;100137;68;3;PDU
2;100138;78;3;PDE
2;100139;47;0;MDEO
2;100140;37;0;TBO
2;100141;62;0;SALTO
2;100142;73;5;MDEO
2;100143;45;4;SALTO
2;100144;89;3;TBO
2;100145;31;0;SALTO
2;100146;39;0;PDU
2;100147;19;0;SALTO
2;100148;82;1;SALTO
2;100149;60;0;PDE
2;100150;56;0;MDEO
2;100151;57;0;MDEO
2;100152;49;0;MDEO
2;100153;32;0;TBO
2;100154;69;5;PDU
2;100155;47;0;MDEO
2;100156;57;0;PDU
2;100157;83;3;SALTO
2;100158;44;0;PDU
2;100159;67;3;TBO
2;100160;68;3;PDU
2;100161;69;5;MDEO
2;100162;82;5;MDEO
2;100163;75;5;MDEO
2;100164;46;0;PDE
2;100165;21;0;SALTO
2;100166;69;5;PDE
2;100167;80;4;MDEO
2;100168;71;4;TBO
2;100169;86;4;MDEO
2;100170;75;2;PDE
2;100171;88;3;PDE
2;100172;19;0;PDU
2;100173;66;2;PDE
2;100174;73;2;PDU
2;100175;30;2;PDE
2;100176;40;2;MDEO
2;100177;21;0;PDU
2;100178;41;0;SALTO
2;100179;78;2;MDEO
2;100180;44;4;MDEO
2;100181;75;3;SALTO
2;100182;48;0;SALTO
2;100183;71;3;TBO
2;100184;26;0;PDE
2;100185;20;0;PDE
2;100186;56;0;PDU
2;100187;26;0;MDEO
2;100188;82;2;PDU
2;100189;21;0;PDE
2;100190;39;1;PDU
2;100191;68;4;PDU
2;100192;51;0;SALTO
2;100193;81;1;TBO
2;100194;89;4;TBO
2;100195;56;0;TBO
2;100196;22;0;MDEO
2;100197;29;2;SALTO
2;100198;65;0;PDE
2;100199;65;0;PDU
2;100200;69;1;PDE
2;100201;40;0;TBO
2;100202;71;3;MDEO
2;100203;88;5;PDU
2;100204;37;3;MDEO
2;100205;22;0;PDU
2;100206;26;0;SALTO
2;100207;68;1;PDU
2;100208;40;0;PDE
2;100209;26;0;MDEO
2;100210;80;5;TBO
2;100211;30;0;PDU
2;100212;72;4;TBO
2;100213;31;0;PDU
2;100214;33;0;SALTO
2;100215;55;0;MDEO
2;100216;68;2;SALTO
2;100217;32;0;MDEO
2;100218;18;0;PDU
2;100219;35;0;TBO
2;100220;38;0;MDEO
2;100221;35;0;PDE
2;100222;23;0;TBO
2;100223;29;0;PDE
3;100224;21;0;PDE
3;100225;69;5;SALTO
3;100226;80;2;PDE
3;100227;89;4;TBO
3;100228;69;2;PDU
3;100229;49;0;MDEO
3;100230;42;0;MDEO
3;100231;88;3;SALTO
3;100232;29;0;PDU
3;100233;84;3;PDE
3;100234;23;0;PDU
3;100235;34;0;SALTO
3;100236;39;0;PDE
3;100237;34;0;MDEO
3;100238;77;4;SALTO
3;100239;54;0;TBO
3;100240;82;5;TBO
3;100241;46;0;PDE
3;100242;46;0;TBO
3;100243;71;2;PDU
3;100244;65;0;PDE
3;100245;71;3;MDEO
3;100246;28;0;PDE
3;100247;39;2;SALTO
3;100248;71;3;PDU
3;100249;31;0;SALTO
3;100250;74;4;MDEO
3;100251;47;0;TBO
3;100252;67;1;PDU
3;100253;87;5;PDU
3;100254;56;0;PDE
3;100255;45;0;TBO
3;100256;27;0;SALTO
3;100257;49;4;PDE
3;100258;63;0;MDEO
3;100259;49;0;PDE
3;100260;63;5;SALTO
3;100261;31;0;SALTO
3;100262;30;5;MDEO
3;100263;71;4;SALTO
3;100264;84;5;MDEO
3;100265;47;0;TBO
3;100266;83;2;PDU
3;100267;24;0;MDEO
3;100268;48;0;TBO
3;100269;87;5;MDEO
3;100270;41;0;PDE
3;100271;37;0;PDE
3;100272;50;0;SALTO
3;100273;74;3;TBO
3;100274;59;0;SALTO
3;100275;61;0;PDE
3;100276;54;0;MDEO
3;100277;24;0;SALTO
3;100278;86;3;PDE
3;100279;38;0;MDEO
3;100280;60;0;TBO
3;100281;84;5;SALTO
3;100282;54;0;SALTO
3;100283;53;0;TBO
3;100284;59;5;MDEO
3;100285;77;5;TBO
3;100286;65;0;MDEO
3;100287;74;3;SALTO
3;100288;73;4;SALTO
3;100289;70;2;MDEO
3;100290;77;1;SALTO
3;100291;40;0;SALTO
3;100292;31;0;PDE
3;100293;65;0;PDU
3;100294;80;4;SALTO
3;100295;74;1;MDEO
3;100296;31;4;MDEO
3;100297;72;5;SALTO
3;100298;82;4;SALTO
3;100299;80;5;TBO
3;100300;82;1;TBO
3;100301;73;2;PDU
3;100302;66;1;PDU
3;100303;20;5;MDEO
3;100304;84;2;PDU
3;100305;23;0;TBO
3;100306;54;0;MDEO
3;100307;60;0;MDEO
3;100308;31;0;TBO
3;100309;47;0;PDU
3;100310;85;2;TBO
3;100311;62;0;SALTO
3;100312;67;3;SALTO
3;100313;42;0;PDU
3;100314;76;3;PDE
3;100315;75;4;MDEO
3;100316;33;0;PDE
3;100317;76;5;PDE
3;100318;24;0;MDEO
3;100319;37;2;PDE
3;100320;55;0;PDU
3;100321;53;0;SALTO
3;100322;38;0;PDE
3;100323;23;0;PDU
3;100324;60;0;TBO
3;100325;51;0;PDU
3;100326;22;0;PDE
3;100327;30;0;PDE
3;100328;62;0;SALTO
3;100329;27;0;TBO
3;100330;68;1;PDU
3;100331;27;5;PDU
3;100332;76;3;PDU
3;100333;29;0;SALTO
3;100334;60;0;SALTO
3;100335;64;0;PDU
3;100336;83;1;PDE
3;100337;63;0;MDEO
3;100338;61;0;TBO
3;100339;70;5;TBO
3;100340;27;0;PDE
3;100341;34;0;PDU
3;100342;69;5;MDEO
3;100343;60;0;TBO
3;100344;70;3;PDU
3;100345;72;1;TBO
3;100346;53;0;TBO
3;100347;72;4;PDU
3;100348;67;1;PDE
3;100349;59;5;PDU
3;100350;73;2;TBO
3;100351;84;2;TBO
3;100352;59;2;SALTO
3;100353;53;0;MDEO
3;100354;23;3;PDE
3;100355;86;1;PDE
3;100356;19;0;SALTO
3;100357;88;1;SALTO
3;100358;46;0;MDEO
3;100359;48;0;MDEO
3;100360;53;0;PDE
3;100361;51;0;MDEO
3;100362;41;0;TBO
3;100363;76;5;MDEO
3;100364;78;1;PDU
3;100365;74;2;PDE
3;100366;67;5;PDU
3;100367;82;3;PDU
3;100368;69;1;MDEO
3;100369;43;0;PDE
3;100370;26;0;MDEO
3;100371;71;3;PDU
3;100372;31;2;SALTO
3;100373;39;0;PDE
3;100374;43;0;PDE
3;100375;81;3;PDU
3;100376;38;0;TBO
3;100377;77;4;TBO
3;100378;44;0;PDU
3;100379;47;0;TBO
3;100380;22;0;MDEO
3;100381;81;3;TBO
3;100382;79;1;SALTO
3;100383;37;0;TBO
3;100384;67;1;MDEO
3;100385;28;0;SALTO
3;100386;45;0;PDU
3;100387;20;0;SALTO
3;100388;76;4;SALTO
3;100389;57;0;SALTO
3;100390;71;4;MDEO
3;100391;55;3;MDEO
3;100392;37;0;TBO
3;100393;76;3;TBO
3;100394;19;0;PDU
3;100395;51;0;TBO
3;100396;71;3;PDU
3;100397;55;0;PDU
3;100398;38;0;PDE
3;100399;19;0;MDEO
3;100400;77;3;SALTO
3;100401;19;0;MDEO
3;100402;31;0;PDE
3;100403;72;3;TBO
3;100404;84;4;TBO
3;100405;21;0;TBO
3;100406;39;0;MDEO
3;100407;60;0;PDE
3;100408;73;5;PDU
3;100409;23;0;PDU
3;100410;56;2;PDE
3;100411;43;0;SALTO
3;100412;64;0;MDEO
3;100413;51;0;PDU
3;100414;19;0;MDEO
3;100415;78;4;MDEO
3;100416;56;0;PDU
3;100417;36;0;PDU
3;100418;34;0;PDE
3;100419;63;0;PDU
3;100420;44;0;MDEO
3;100421;87;3;MDEO
3;100422;58;0;PDE
3;100423;22;0;PDU
3;100424;38;0;PDU
3;100425;19;0;SALTO
3;100426;45;0;PDU
3;100427;54;0;SALTO
3;100428;56;0;MDEO
3;100429;89;5;MDEO
3;100430;75;1;TBO
3;100431;36;0;PDE
3;100432;52;0;PDE
3;100433;29;0;PDU
3;100434;30;0;TBO
3;100435;23;3;PDU
3;100436;54;0;SALTO
3;100437;75;4;MDEO
3;100438;74;3;PDU
3;100439;70;2;PDU
3;100440;46;2;MDEO
3;100441;75;2;TBO
3;100442;56;0;TBO
3;100443;30;0;PDU
3;100444;82;5;TBO
3;100445;53;0;PDU
3;100446;40;0;MDEO
3;100447;23;0;MDEO
3;100448;53;0;MDEO
3;100449;75;2;MDEO
3;100450;65;0;SALTO
3;100451;58;0;PDE
3;100452;82;3;SALTO
3;100453;50;0;SALTO
3;100454;28;0;MDEO
3;100455;37;0;SALTO
3;100456;44;0;SALTO
3;100457;61;0;MDEO
3;100458;83;4;TBO
4;100459;79;1;SALTO
4;100460;43;0;SALTO
4;100461;59;0;PDE
4;100462;29;0;TBO
