Momento;CI;edad;riesgo;departamento
1;400000;73;4;TBO
1;400001;37;0;TBO
1;400002;82;4;SALTO
1;400003;36;0;MDEO
1;400004;39;0;PDU
1;400005;56;0;MDEO
1;400006;33;0;PDE
1;400007;18;0;TBO
1;400008;80;5;MDEO
1;400009;40;0;PDE
1;400010;80;2;MDEO
1;400011;35;0;MDEO
1;400012;21;0;TBO
1;400013;86;1;MDEO
1;400014;49;0;PDE
1;400015;66;4;TBO
1;400016;39;0;SALTO
1;400017;67;2;PDU
1;400018;85;5;SALTO
1;400019;79;2;TBO
1;400020;37;0;TBO
1;400021;86;1;TBO
1;400022;50;0;SALTO
1;400023;65;0;SALTO
1;400024;47;0;SALTO
1;400025;19;0;SALTO
1;400026;57;0;MDEO
1;400027;53;0;SALTO
1;400028;25;0;PDE
1;400029;54;0;PDU
1;400030;29;0;PDU
1;400031;87;3;PDU
1;400032;72;5;MDEO
1;400033;68;4;PDE
1;400034;62;0;PDU
1;400035;52;0;TBO
1;400036;33;4;MDEO
1;400037;53;0;MDEO
1;400038;37;0;TBO
1;400039;58;0;TBO
1;400040;87;4;SALTO
1;400041;37;0;PDE
1;400042;79;5;SALTO
1;400043;83;4;PDU
1;400044;51;0;MDEO
1;400045;21;0;SALTO
1;400046;53;0;PDU
1;400047;76;5;PDE
1;400048;65;0;SALTO
1;400049;88;5;PDE
1;400050;69;2;TBO
1;400051;20;2;TBO
1;400052;66;3;TBO
1;400053;39;0;SALTO
1;400054;29;0;PDU
1;400055;53;0;PDU
1;400056;47;0;SALTO
1;400057;84;3;SALTO
1;400058;65;0;PDU
1;400059;47;0;TBO
1;400060;78;3;MDEO
1;400061;48;0;PDU
1;400062;18;0;PDU
1;400063;73;3;PDE
1;400064;64;0;MDEO
1;400065;55;0;PDE
1;400066;87;3;TBO
1;400067;52;0;SALTO
1;400068;39;0;SALTO
1;400069;26;0;TBO
1;400070;68;4;TBO
1;400071;62;0;PDU
1;400072;50;0;SALTO
1;400073;60;0;PDE
1;400074;72;4;PDE
1;400075;69;3;TBO
1;400076;72;2;MDEO
1;400077;45;0;TBO
1;400078;86;1;TBO
1;400079;64;0;PDE
1;400080;59;0;SALTO
1;400081;42;0;PDU
1;400082;47;0;TBO
1;400083;27;0;PDE
1;400084;56;0;TBO
1;400085;54;0;TBO
1;400086;62;0;TBO
1;400087;80;2;PDU
1;400088;88;3;PDU
1;400089;39;0;PDU
1;400090;64;0;MDEO
1;400091;69;3;MDEO
1;400092;31;0;PDE
1;400093;67;2;SALTO
1;400094;27;0;SALTO
1;400095;56;0;PDU
1;400096;89;2;TBO
1;400097;26;0;TBO
1;400098;51;0;SALTO
1;400099;85;5;PDE
1;400100;43;0;TBO
1;400101;87;2;SALTO
1;400102;64;0;PDE
1;400103;49;0;PDU
1;400104;51;0;PDE
1;400105;64;0;MDEO
1;400106;25;0;PDU
1;400107;59;0;TBO
1;400108;61;0;PDE
1;400109;65;0;PDE
1;400110;40;0;SALTO
1;400111;76;3;MDEO
1;400112;24;0;PDU
1;400113;43;0;TBO
1;400114;46;0;SALTO
1;400115;29;0;TBO
1;400116;47;2;PDE
1;400117;80;2;PDU
1;400118;60;0;PDU
1;400119;31;0;SALTO
1;400120;40;0;SALTO
1;400121;33;0;MDEO
1;400122;73;2;PDE
1;400123;77;1;PDU
1;400124;67;1;SALTO
1;400125;86;1;TBO
1;400126;89;2;SALTO
1;400127;51;0;MDEO
1;400128;49;0;PDU
1;400129;80;2;PDU
1;400130;55;0;PDE
1;400131;28;0;TBO
1;400132;24;0;PDE
1;400133;55;0;TBO
1;400134;85;4;MDEO
1;400135;53;0;PDU
1;400136;38;3;PDE
1;400137;58;0;TBO
1;400138;44;0;PDE
1;400139;86;1;TBO
2;400140;61;0;TBO
2;400141;60;3;PDU
2;400142;89;5;SALTO
2;400143;78;2;TBO
2;400144;75;3;PDU
2;400145;75;2;MDEO
2;400146;25;0;PDE
2;400147;21;0;SALTO
2;400148;40;0;MDEO
2;400149;83;1;PDE
2;400150;53;0;PDU
2;400151;80;3;PDU
2;400152;68;1;MDEO
2;400153;35;0;PDE
2;400154;20;0;PDE
2;400155;35;0;TBO
2;400156;60;0;TBO
2;400157;69;4;SALTO
2;400158;36;2;SALTO
2;400159;35;0;MDEO
2;400160;37;0;PDU
2;400161;33;0;PDE
2;400162;26;5;TBO
2;400163;33;3;MDEO
2;400164;21;0;MDEO
2;400165;20;0;PDU
2;400166;72;5;PDE
2;400167;77;1;SALTO
2;400168;65;0;SALTO
2;400169;53;0;PDE
2;400170;71;2;SALTO
2;400171;34;0;PDE
2;400172;77;3;PDU
2;400173;65;0;MDEO
2;400174;76;3;PDU
2;400175;88;4;PDU
2;400176;28;1;PDE
2;400177;67;4;PDU
2;400178;39;0;SALTO
