Momento;CI;edad;riesgo;departamento
1;100000;20;0;SALTO
1;100001;47;0;SALTO
1;100002;77;2;SALTO
1;100003;54;5;MDEO
1;100004;25;0;PDU
1;100005;65;0;PDU
1;100006;59;0;SALTO
1;100007;75;3;TBO
1;100008;22;0;MDEO
1;100009;77;5;MDEO
1;100010;62;0;SALTO
1;100011;48;0;PDU
1;100012;25;0;SALTO
1;100013;28;0;SALTO
1;100014;18;0;PDU
1;100015;75;1;SALTO
1;100016;21;0;PDE
1;100017;44;0;MDEO
1;100018;33;0;SALTO
1;100019;21;0;PDU
1;100020;27;0;TBO
1;100021;33;0;MDEO
1;100022;70;2;SALTO
1;100023;73;1;PDE
1;100024;44;5;PDE
1;100025;68;5;MDEO
1;100026;59;0;MDEO
1;100027;34;0;PDE
1;100028;18;4;SALTO
1;100029;34;0;TBO
1;100030;46;0;PDU
1;100031;74;4;PDE
1;100032;55;0;PDE
1;100033;40;0;PDU
1;100034;55;0;MDEO
1;100035;41;0;SALTO
1;100036;40;0;PDU
1;100037;22;0;SALTO
1;100038;39;0;PDU
1;100039;22;0;PDU
1;100040;77;3;TBO
1;100041;71;4;PDU
1;100042;71;5;MDEO
1;100043;61;0;MDEO
1;100044;58;0;PDE
1;100045;62;0;SALTO
1;100046;24;4;TBO
1;100047;35;0;SALTO
1;100048;58;0;PDE
1;100049;21;0;SALTO
1;100050;74;3;MDEO
1;100051;63;0;PDU
1;100052;25;0;PDU
1;100053;21;0;SALTO
1;100054;38;0;SALTO
1;100055;74;1;TBO
1;100056;49;0;PDU
1;100057;49;0;PDU
1;100058;31;0;SALTO
1;100059;34;0;PDU
1;100060;35;0;TBO
1;100061;76;1;SALTO
1;100062;18;0;TBO
1;100063;66;4;TBO
1;100064;23;0;SALTO
1;100065;30;0;MDEO
1;100066;64;0;MDEO
1;100067;39;0;PDU
1;100068;59;3;TBO
1;100069;69;5;PDU
1;100070;34;0;PDU
1;100071;26;0;SALTO
1;100072;73;4;TBO
1;100073;61;0;PDE
1;100074;48;0;TBO
1;100075;65;5;PDU
1;100076;33;0;MDEO
1;100077;53;0;TBO
1;100078;41;0;TBO
1;100079;35;0;TBO
1;100080;75;2;TBO
1;100081;79;1;MDEO
1;100082;37;0;MDEO
1;100083;67;1;MDEO
1;100084;56;0;PDU
1;100085;64;0;PDE
1;100086;34;0;PDE
1;100087;35;0;MDEO
1;100088;48;0;SALTO
1;100089;32;0;TBO
1;100090;72;3;TBO
