Momento;CI;edad;riesgo;departamento
1;300000;32;0;MDEO
1;300001;24;0;SALTO
1;300002;63;0;SALTO
1;300003;89;1;SALTO
1;300004;49;0;PDE
1;300005;54;0;PDE
1;300006;26;4;SALTO
1;300007;76;1;TBO
1;300008;40;5;MDEO
1;300009;78;4;PDE
1;300010;20;0;TBO
1;300011;89;1;TBO
1;300012;67;2;MDEO
1;300013;75;3;TBO
1;300014;87;3;PDU
1;300015;84;3;MDEO
1;300016;22;0;PDE
1;300017;83;5;PDE
1;300018;40;0;MDEO
1;300019;26;0;TBO
1;300020;50;0;PDE
1;300021;36;0;PDU
1;300022;65;0;MDEO
1;300023;81;5;TBO
1;300024;53;0;MDEO
1;300025;51;0;TBO
1;300026;58;3;PDE
1;300027;70;3;MDEO
1;300028;26;0;PDU
1;300029;75;2;SALTO
1;300030;42;0;MDEO
1;300031;64;0;PDU
1;300032;63;0;PDE
1;300033;24;0;PDU
1;300034;23;0;PDU
1;300035;36;0;SALTO
1;300036;62;0;PDU
1;300037;62;0;SALTO
1;300038;74;5;TBO
1;300039;72;2;PDE
1;300040;38;0;TBO
1;300041;66;1;PDE
1;300042;80;5;PDU
1;300043;75;5;PDE
1;300044;73;2;PDU
1;300045;48;0;MDEO
1;300046;53;0;MDEO
1;300047;61;0;MDEO
1;300048;76;1;MDEO
1;300049;86;2;MDEO
1;300050;20;0;MDEO
1;300051;70;1;PDU
1;300052;19;0;PDE
1;300053;21;0;MDEO
1;300054;65;1;PDU
1;300055;88;3;TBO
1;300056;63;0;MDEO
1;300057;28;0;PDU
1;300058;20;0;SALTO
1;300059;19;0;PDE
1;300060;49;0;TBO
1;300061;72;4;MDEO
1;300062;31;0;PDE
1;300063;51;0;SALTO
1;300064;64;0;MDEO
1;300065;55;0;SALTO
1;300066;75;2;PDU
1;300067;38;0;SALTO
1;300068;68;2;TBO
1;300069;77;2;PDU
1;300070;65;0;SALTO
1;300071;68;5;MDEO
1;300072;40;1;PDE
1;300073;29;0;PDU
1;300074;38;4;PDE
1;300075;58;0;PDE
1;300076;33;0;MDEO
1;300077;24;0;SALTO
1;300078;61;0;PDE
1;300079;88;3;PDE
1;300080;57;0;PDE
1;300081;82;3;PDE
1;300082;64;0;MDEO
1;300083;83;5;SALTO
1;300084;36;0;TBO
1;300085;67;5;MDEO
1;300086;47;0;MDEO
1;300087;25;0;PDU
1;300088;62;0;SALTO
1;300089;58;0;PDE
1;300090;30;0;SALTO
1;300091;24;0;MDEO
1;300092;51;0;MDEO
1;300093;66;5;PDE
1;300094;41;0;PDE
1;300095;89;5;PDU
1;300096;46;0;PDU
1;300097;24;0;SALTO
1;300098;49;0;PDU
1;300099;59;0;PDE
1;300100;35;0;TBO
2;300101;28;0;TBO
2;300102;29;0;PDU
2;300103;36;0;TBO
2;300104;68;4;PDU
2;300105;77;5;MDEO
2;300106;26;2;PDU
2;300107;83;5;MDEO
2;300108;26;0;PDU
2;300109;78;4;PDU
2;300110;54;0;MDEO
2;300111;66;2;SALTO
2;300112;73;2;MDEO
2;300113;30;0;MDEO
2;300114;50;0;MDEO
2;300115;58;0;TBO
2;300116;89;3;SALTO
2;300117;19;0;PDE
2;300118;22;0;PDU
2;300119;83;2;PDE
2;300120;70;1;PDU
2;300121;45;5;SALTO
2;300122;49;0;TBO
2;300123;63;0;PDE
2;300124;51;0;PDE
2;300125;76;4;MDEO
2;300126;56;0;PDE
2;300127;23;0;PDE
2;300128;66;1;TBO
2;300129;80;2;PDU
2;300130;75;2;PDU
2;300131;85;2;PDE
2;300132;64;0;SALTO
2;300133;81;3;SALTO
2;300134;28;3;SALTO
2;300135;69;3;PDE
2;300136;51;0;TBO
2;300137;84;2;SALTO
2;300138;64;0;MDEO
2;300139;35;0;PDU
2;300140;46;0;PDU
2;300141;42;0;SALTO
2;300142;52;0;TBO
2;300143;46;0;PDU
2;300144;79;4;PDU
2;300145;65;0;SALTO
2;300146;41;2;SALTO
2;300147;56;0;TBO
2;300148;74;2;PDE
2;300149;25;0;TBO
2;300150;32;3;MDEO
2;300151;20;0;PDU
2;300152;45;0;SALTO
2;300153;25;0;SALTO
2;300154;28;0;MDEO
2;300155;57;0;SALTO
2;300156;42;5;MDEO
2;300157;65;0;MDEO
2;300158;26;0;TBO
2;300159;67;1;SALTO
2;300160;61;0;PDU
2;300161;82;4;MDEO
2;300162;31;0;PDU
2;300163;66;4;TBO
2;300164;38;0;PDU
2;300165;40;0;PDU
2;300166;75;3;MDEO
2;300167;77;5;PDE
2;300168;46;0;PDE
2;300169;40;0;SALTO
2;300170;32;0;MDEO
2;300171;18;0;MDEO
2;300172;54;0;MDEO
2;300173;76;3;PDU
2;300174;41;0;SALTO
2;300175;20;5;PDU
2;300176;39;0;PDU
2;300177;64;0;TBO
2;300178;60;0;SALTO
2;300179;41;4;PDU
2;300180;18;0;PDE
2;300181;59;0;PDU
2;300182;25;0;MDEO
2;300183;41;0;PDE
2;300184;45;0;PDU
2;300185;24;0;SALTO
2;300186;73;1;SALTO
2;300187;50;0;PDE
2;300188;22;0;SALTO
2;300189;51;0;PDE
2;300190;62;0;PDU
2;300191;71;3;SALTO
2;300192;81;3;PDE
2;300193;37;0;TBO
2;300194;45;0;PDU
2;300195;42;0;SALTO
2;300196;29;0;TBO
2;300197;76;5;PDE
2;300198;79;1;PDE
2;300199;72;1;SALTO
2;300200;67;4;TBO
2;300201;55;0;PDE
2;300202;44;0;PDU
2;300203;80;1;MDEO
2;300204;44;0;SALTO
2;300205;52;0;PDU
2;300206;23;0;MDEO
2;300207;30;0;PDE
2;300208;48;0;TBO
2;300209;76;3;MDEO
2;300210;85;4;PDE
2;300211;24;0;PDU
3;300212;46;0;SALTO
3;300213;43;0;MDEO
3;300214;29;0;SALTO
3;300215;33;0;SALTO
3;300216;63;0;TBO
3;300217;70;5;PDE
3;300218;83;2;PDU
3;300219;58;0;PDU
3;300220;50;4;PDE
3;300221;24;0;TBO
3;300222;64;0;PDU
3;300223;64;0;TBO
3;300224;86;3;SALTO
3;300225;23;0;TBO
3;300226;76;3;MDEO
3;300227;23;2;SALTO
3;300228;66;3;PDE
3;300229;20;0;PDU
3;300230;81;2;PDE
3;300231;27;0;MDEO
3;300232;70;3;PDE
3;300233;21;0;PDU
3;300234;58;0;SALTO
3;300235;32;0;MDEO
3;300236;54;0;SALTO
3;300237;72;2;SALTO
3;300238;18;0;MDEO
