CI: 1000005 | Edad:69 | Riesgo: 2
CI: 1000000 | Edad:66 | Riesgo: 4
CI: 1000017 | Edad:73 | Riesgo: 5
CI: 1000000 | Edad:66 | Riesgo: 4
CI: 1000019 | Edad:84 | Riesgo: 1
CI: 1000020 | Edad:30 | Riesgo: 5
CI: 1000003 | Edad:64 | Riesgo: 3
CI: 1000003 | Edad:64 | Riesgo: 3
CI: 1000005 | Edad:69 | Riesgo: 2
CI: 1000021 | Edad:82 | Riesgo: 5
CI: 1000022 | Edad:86 | Riesgo: 5
CI: 1000013 | Edad:75 | Riesgo: 2
CI: 1000005 | Edad:69 | Riesgo: 2
CI: 1000024 | Edad:88 | Riesgo: 5
CI: 1000025 | Edad:81 | Riesgo: 3
CI: 1000028 | Edad:85 | Riesgo: 3
CI: 1000013 | Edad:75 | Riesgo: 2
CI: 1000013 | Edad:75 | Riesgo: 2
CI: 1000031 | Edad:66 | Riesgo: 4
CI: 1000032 | Edad:73 | Riesgo: 2
CI: 1000019 | Edad:84 | Riesgo: 1
CI: 1000017 | Edad:73 | Riesgo: 5
CI: 1000017 | Edad:73 | Riesgo: 5
CI: 1000020 | Edad:30 | Riesgo: 5
CI: 1000021 | Edad:82 | Riesgo: 5
CI: 1000019 | Edad:84 | Riesgo: 1
CI: 1000035 | Edad:79 | Riesgo: 1
CI: 1000022 | Edad:86 | Riesgo: 5
CI: 1000020 | Edad:30 | Riesgo: 5
CI: 1000021 | Edad:82 | Riesgo: 5
CI: 1000038 | Edad:85 | Riesgo: 3
CI: 1000039 | Edad:81 | Riesgo: 2
CI: 1000024 | Edad:88 | Riesgo: 5
CI: 1000025 | Edad:81 | Riesgo: 3
CI: 1000022 | Edad:86 | Riesgo: 5
CI: 1000041 | Edad:83 | Riesgo: 3
CI: 1000042 | Edad:77 | Riesgo: 4
CI: 1000043 | Edad:79 | Riesgo: 4
CI: 1000028 | Edad:85 | Riesgo: 3
CI: 1000024 | Edad:88 | Riesgo: 5
CI: 1000025 | Edad:81 | Riesgo: 3
CI: 1000031 | Edad:66 | Riesgo: 4
CI: 1000032 | Edad:73 | Riesgo: 2
CI: 1000028 | Edad:85 | Riesgo: 3
CI: 1000049 | Edad:82 | Riesgo: 5
CI: 1000031 | Edad:66 | Riesgo: 4
CI: 1000050 | Edad:66 | Riesgo: 1
CI: 1000035 | Edad:79 | Riesgo: 1
CI: 1000051 | Edad:66 | Riesgo: 3
CI: 1000032 | Edad:73 | Riesgo: 2
CI: 1000038 | Edad:85 | Riesgo: 3
CI: 1000039 | Edad:81 | Riesgo: 2
CI: 1000053 | Edad:87 | Riesgo: 4
CI: 1000035 | Edad:79 | Riesgo: 1
CI: 1000055 | Edad:88 | Riesgo: 3
CI: 1000042 | Edad:77 | Riesgo: 4
CI: 1000041 | Edad:83 | Riesgo: 3
CI: 1000057 | Edad:72 | Riesgo: 2
CI: 1000043 | Edad:79 | Riesgo: 4
CI: 1000039 | Edad:81 | Riesgo: 2
CI: 1000041 | Edad:83 | Riesgo: 3
CI: 1000038 | Edad:85 | Riesgo: 3
CI: 1000042 | Edad:77 | Riesgo: 4
CI: 1000043 | Edad:79 | Riesgo: 4
CI: 1000049 | Edad:82 | Riesgo: 5
CI: 1000065 | Edad:72 | Riesgo: 4
CI: 1000066 | Edad:67 | Riesgo: 3
CI: 1000050 | Edad:66 | Riesgo: 1
CI: 1000049 | Edad:82 | Riesgo: 5
CI: 1000050 | Edad:66 | Riesgo: 1
CI: 1000051 | Edad:66 | Riesgo: 3
CI: 1000053 | Edad:87 | Riesgo: 4
CI: 1000051 | Edad:66 | Riesgo: 3
CI: 1000055 | Edad:88 | Riesgo: 3
CI: 1000053 | Edad:87 | Riesgo: 4
CI: 1000071 | Edad:52 | Riesgo: 2
CI: 1000073 | Edad:45 | Riesgo: 1
CI: 1000057 | Edad:72 | Riesgo: 2
CI: 1000075 | Edad:40 | Riesgo: 2
CI: 1000055 | Edad:88 | Riesgo: 3
CI: 1000057 | Edad:72 | Riesgo: 2
CI: 1000077 | Edad:29 | Riesgo: 2
CI: 1000082 | Edad:35 | Riesgo: 4
CI: 1000065 | Edad:72 | Riesgo: 4
CI: 1000081 | Edad:67 | Riesgo: 3
CI: 1000083 | Edad:69 | Riesgo: 1
CI: 1000066 | Edad:67 | Riesgo: 3
CI: 1000066 | Edad:67 | Riesgo: 3
CI: 1000065 | Edad:72 | Riesgo: 4
CI: 1000071 | Edad:52 | Riesgo: 2
CI: 1000090 | Edad:46 | Riesgo: 1
CI: 1000092 | Edad:84 | Riesgo: 5
CI: 1000071 | Edad:52 | Riesgo: 2
CI: 1000073 | Edad:45 | Riesgo: 1
CI: 1000093 | Edad:73 | Riesgo: 1
